priority_rank,canonical_condition,canonical_condition_id,variant_id,question_id,question_text,contexts,source,reuse_bank_count,current_selection_level,current_urgency,default_selected,required,red_flag,clinical_rationale,follow_up_behavior,current_branching,feedback_action,proposed_text,proposed_selection_level,proposed_urgency,proposed_branching,reviewer,reviewed_at,rationale,disposition,accepted_by,accepted_at,feedback_id,row_type,bank_id,current_bank_version,current_question_version
1,Chronic Back Pain,chronic_back_pain,,ccm.general.health_change,Has your health changed since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,81,required,soon,true,true,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""general-health-worse"",""when"":{""operator"":""equals"",""value"":""worse""},""actions"":[{""type"":""flag_for_review"",""code"":""health_worsening"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.general.health_change,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.pain.severity,What is your pain level today from 0 to 10?,intake; monthly_checkin; care_plan_review; annual_review,existing,20,recommended,same_day,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""high-pain"",""when"":{""operator"":""greater_than_or_equal"",""value"":8},""actions"":[{""type"":""flag_for_review"",""code"":""high_pain"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.pain.severity,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.pain.function_interference,Is pain preventing an important daily activity?,intake; monthly_checkin; care_plan_review; annual_review,existing,13,recommended,soon,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""pain-function-review"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""pain_function_limit"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.pain.function_interference,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.neuro.new_weakness,Have you developed new or worsening weakness in an arm or leg?,intake; monthly_checkin; care_plan_review,new,12,recommended,same_day,true,false,true,Screens for neurologic progression that may require prompt clinical assessment.,A yes response creates a same_day clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-neuro-new_weakness-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""new_or_worsening_limb_weakness"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.neuro.new_weakness,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.spine.bowel_bladder_change,Have you had a new loss of bowel or bladder control?,intake; monthly_checkin; care_plan_review,new,7,recommended,urgent,true,false,true,Screens for possible severe neural compression requiring urgent evaluation.,A yes response creates a urgent clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-spine-bowel_bladder_change-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""new_bowel_or_bladder_loss"",""urgency"":""urgent"",""providerNotification"":true}]},{""id"":""ccm-spine-bowel_bladder_change-branch"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.spine.saddle_numbness""]}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.spine.bowel_bladder_change,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.spine.saddle_numbness,"Have you had new numbness around the groin, buttocks, or inner thighs?",intake; monthly_checkin; care_plan_review,new,7,optional,urgent,false,false,true,Adds a focused follow-up for possible cauda equina or severe cord compression.,A yes response creates a urgent clinical-review flag.,"{""displayWhen"":[{""questionId"":""ccm.spine.bowel_bladder_change"",""operator"":""equals"",""value"":true}],""followUpTriggers"":[{""id"":""ccm-spine-saddle_numbness-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""new_saddle_numbness"",""urgency"":""urgent"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.spine.saddle_numbness,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.spine.therapy_progress,Are you currently doing prescribed exercises or physical therapy for your spine condition?,intake; monthly_checkin; care_plan_review,new,7,recommended,,true,false,false,Assesses engagement with a commonly used nonprocedural management plan without assuming it was prescribed.,Review a yes response during routine CCM follow-up.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.spine.therapy_progress,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.medication.has_issue,Are you having any problem taking or obtaining your medications?,intake; monthly_checkin; care_plan_review; annual_review,existing,78,recommended,,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""medication-issue-details"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.medication.issue_reasons"",""ccm.medication.provider_aware""]}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.medication.has_issue,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.treatment.plan_barrier,Is anything making it difficult to follow the care plan for this condition?,intake; monthly_checkin; care_plan_review,new,52,recommended,routine,true,false,false,"Identifies adherence, access, understanding, and feasibility barriers without assuming a specific treatment.",A yes response creates a routine coordinator task to identify and address the barrier.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-treatment-plan_barrier-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""condition_care_plan_barrier"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.treatment.plan_barrier,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.falls.had_fall,Have you fallen since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,32,optional,,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""fall-flow"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.falls.date"",""ccm.falls.injury"",""ccm.falls.er_visit"",""ccm.falls.recurring""]}]}]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.falls.had_fall,question,ccm-bank.chronic_back_pain,1,1
