priority_rank,canonical_condition,canonical_condition_id,bank_id,current_bank_version,icd_families,base_question_count,reused_question_count,new_question_count,monthly_question_count,red_flag_count,variant_count,outstanding_review_concerns,feedback_action,proposed_text,reviewer,reviewed_at,rationale,disposition,accepted_by,accepted_at,feedback_id,row_type,variant_id,question_id,current_question_version,question_text,current_selection_level,current_urgency,current_branching,proposed_selection_level,proposed_urgency,proposed_branching
1,Chronic Back Pain,chronic_back_pain,ccm-bank.chronic_back_pain,1,M54,12,12,6,11,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit reuse/merge concern (HIGH): Consider one chronic-pain canonical core with back-pain and neoplasm-related variants; preserve site-specific functional modules where needed.,,,,,,pending,,,bank:chronic_back_pain,bank,,,,,,,,,,
2,Atrial Fibrillation,atrial_fibrillation,ccm-bank.atrial_fibrillation,1,I48,9,9,5,8,3,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:atrial_fibrillation,bank,,,,,,,,,,
3,Peripheral Vascular Disease,peripheral_vascular_disease,ccm-bank.peripheral_vascular_disease,1,I70; I73,9,7,4,8,2,0,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit split concern (HIGH): Split general content by uncomplicated disease, ulceration, gangrene, and revascularization/amputation burden; laterality alone should still collapse.",,,,,,pending,,,bank:peripheral_vascular_disease,bank,,,,,,,,,,
4,Type 2 Diabetes,type_2_diabetes,ccm-bank.type_2_diabetes,1,E11,9,15,2,15,0,4,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Existing canonical audit reuse/merge concern (MEDIUM): Retain distinct canonical IDs, but share a diabetes core and complication modules to avoid duplicate questions. | Existing canonical audit reuse/merge concern (MEDIUM): Keep neuropathy independently selectable while reusing a complication module for diabetic neuropathy. | 4 variant(s) require confirmation that activation criteria materially change CCM questioning.",,,,,,pending,,,bank:type_2_diabetes,bank,,,,,,,,,,
5,Coronary Artery Disease,coronary_artery_disease,ccm-bank.coronary_artery_disease,1,I25,9,9,4,8,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:coronary_artery_disease,bank,,,,,,,,,,
6,Gastroesophageal Reflux Disease,gerd,ccm-bank.gerd,1,K21,7,6,3,6,2,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:gerd,bank,,,,,,,,,,
7,Active Malignancy,malignancy,ccm-bank.malignancy,1,C00; C01; C02; C03; C04; C05; C06; C07; C08; C09; C10; C11; C12; C13; C14; C15; C16; C17; C18; C19; C20; C21; C22; C23; C24; C25; C26; C30; C31; C32; C33; C34; C37; C38; C39; C40; C41; C43; C44; C45; C46; C47; C48; C49; C4A; C50; C51; C52; C53; C54; C55; C56; C57; C58; C60; C61; C62; C63; C64; C65; C66; C67; C68; C69; C70; C71; C72; C73; C74; C75; C76; C77; C78; C79; C7A; C7B; C80; C81; C82; C83; C84; C85; C86; C88; C90; C91; C92; C93; C94; C95; C96,9,12,4,14,0,3,"Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Cancer site and treatment phase still require coordinator judgment. | Existing canonical audit split concern (HIGH): Retain site families but add active treatment, metastatic disease, remission/surveillance, and symptom-burden dimensions. | 3 variant(s) require confirmation that activation criteria materially change CCM questioning.",,,,,,pending,,,bank:malignancy,bank,,,,,,,,,,
8,Peripheral Neuropathy,peripheral_neuropathy,ccm-bank.peripheral_neuropathy,1,G62,10,9,4,9,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing. | Existing canonical audit reuse/merge concern (MEDIUM): Keep neuropathy independently selectable while reusing a complication module for diabetic neuropathy.,,,,,,pending,,,bank:peripheral_neuropathy,bank,,,,,,,,,,
9,Chronic Heart Failure,chronic_heart_failure,ccm-bank.chronic_heart_failure,1,I50,10,8,2,9,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:chronic_heart_failure,bank,,,,,,,,,,
10,COPD,copd,ccm-bank.copd,1,J43; J44,11,10,6,10,1,0,Bank and question content remain DRAFT_CLINICAL_REVIEW until clinician approval. | Clinician must approve local escalation thresholds and notification timing.,,,,,,pending,,,bank:copd,bank,,,,,,,,,,
