priority_rank,canonical_condition_id,canonical_condition,bank_id,current_bank_version,variant_id,variant_label,activation,clinical_content_group_ids,question_count,question_ids,feedback_action,reviewer,reviewed_at,rationale,disposition,accepted_by,accepted_at
4,type_2_diabetes,Type 2 Diabetes,ccm-bank.type_2_diabetes,1,kidney_complication,Kidney complication,clinical_content_group,type_2_diabetes__kidney_complication,3,ccm.bp.latest_systolic; ccm.specialist.pending_followup; ccm.coordination.open_need,,,,,pending,,
4,type_2_diabetes,Type 2 Diabetes,ccm-bank.type_2_diabetes,1,ophthalmic_complication,Ophthalmic complication,clinical_content_group,type_2_diabetes__ophthalmic_complication; type_2_diabetes__proliferative_retinopathy; type_2_diabetes__proliferative_retinopathy_macular_edema,2,ccm.transportation.barrier; ccm.specialist.pending_followup,,,,,pending,,
4,type_2_diabetes,Type 2 Diabetes,ccm-bank.type_2_diabetes,1,foot_ulcer,Foot ulcer,clinical_content_group,type_2_diabetes__foot_ulcer,2,ccm.pain.severity; ccm.coordination.open_need,,,,,pending,,
4,type_2_diabetes,Type 2 Diabetes,ccm-bank.type_2_diabetes,1,acute_metabolic_complication,Acute metabolic complication follow-up,clinical_content_group,type_2_diabetes__ketoacidosis; type_2_diabetes__hyperosmolarity,3,ccm.hospital.had_admission; ccm.emergency.had_visit; ccm.coordination.open_need,,,,,pending,,
7,malignancy,Active Malignancy,ccm-bank.malignancy,1,active_treatment,Active treatment,explicit,,2,ccm.hospital.had_admission; ccm.pain.severity,,,,,pending,,
7,malignancy,Active Malignancy,ccm-bank.malignancy,1,surveillance,Surveillance,explicit,,2,ccm.preventive.overdue_care; ccm.goal.progress,,,,,pending,,
7,malignancy,Active Malignancy,ccm-bank.malignancy,1,metastatic,Metastatic disease,explicit,,2,ccm.pain.function_interference; ccm.coordination.open_need,,,,,pending,,
12,glaucoma,Glaucoma,ccm-bank.glaucoma,1,severe,Severe glaucoma,clinical_content_group,glaucoma__angle_closure_severe; glaucoma__general_severe; glaucoma__open_angle_severe,3,ccm.function.daily_activity_difficulty; ccm.falls.had_fall; ccm.transportation.barrier,,,,,pending,,
13,chronic_kidney_disease,Chronic Kidney Disease,ccm-bank.chronic_kidney_disease,1,advanced_stage,Advanced-stage CKD,clinical_content_group,chronic_kidney_disease__advanced_stage,2,ccm.specialist.pending_followup; ccm.nutrition.food_access,,,,,pending,,
13,chronic_kidney_disease,Chronic Kidney Disease,ccm-bank.chronic_kidney_disease,1,dialysis,Dialysis,clinical_content_group,chronic_kidney_disease__dialysis_considerations,3,ccm.transportation.barrier; ccm.hospital.had_admission; ccm.coordination.open_need,,,,,pending,,
15,dementia,Dementia,ccm-bank.dementia,1,behavioral_features,Behavioral features,clinical_content_group,dementia__mild_behavioral_features; dementia__moderate_behavioral_features; dementia__severe_behavioral_features; dementia__unspecified_behavioral_features,3,ccm.mental.mood_frequency; ccm.mental.anxiety_frequency; ccm.sleep.quality,,,,,pending,,
17,osteoporosis,Osteoporosis,ccm-bank.osteoporosis,1,current_fracture,Current pathological fracture,clinical_content_group,osteoporosis__with_current_fracture,3,ccm.hospital.had_admission; ccm.emergency.had_visit; ccm.specialist.pending_followup,,,,,pending,,
25,lumbar_disc_disease,Lumbar Disc Disease,ccm-bank.lumbar_disc_disease,1,myelopathy,Myelopathy,clinical_content_group,lumbar_disc_disease__with_myelopathy,1,ccm.neuro.new_weakness,,,,,pending,,
25,lumbar_disc_disease,Lumbar Disc Disease,ccm-bank.lumbar_disc_disease,1,radiculopathy,Radiculopathy,clinical_content_group,lumbar_disc_disease__with_radiculopathy,1,ccm.spine.radiating_pain_change,,,,,pending,,
26,cervical_disc_disease,Cervical Disc Disease,ccm-bank.cervical_disc_disease,1,myelopathy,Myelopathy,clinical_content_group,cervical_disc_disease__with_myelopathy,2,ccm.cervical.hand_dexterity; ccm.neuro.balance_change,,,,,pending,,
26,cervical_disc_disease,Cervical Disc Disease,ccm-bank.cervical_disc_disease,1,radiculopathy,Radiculopathy,clinical_content_group,cervical_disc_disease__with_radiculopathy,1,ccm.spine.radiating_pain_change,,,,,pending,,
30,valvular_heart_disease,Valvular Heart Disease,ccm-bank.valvular_heart_disease,1,aortic_valve,Aortic valve disease,clinical_content_group,valvular_heart_disease__aortic_valve,1,ccm.valve.procedure_plan,,,,,pending,,
30,valvular_heart_disease,Valvular Heart Disease,ccm-bank.valvular_heart_disease,1,mitral_valve,Mitral valve disease,clinical_content_group,valvular_heart_disease__mitral_valve,1,ccm.valve.procedure_plan,,,,,pending,,
32,lumbar_spinal_stenosis,Lumbar Spinal Stenosis,ccm-bank.lumbar_spinal_stenosis,1,neurogenic_claudication,Neurogenic claudication,clinical_content_group,lumbar_spinal_stenosis__neurogenic_claudication,1,ccm.spine.relief_with_flexion,,,,,pending,,
33,myasthenia_gravis,Myasthenia Gravis,ccm-bank.myasthenia_gravis,1,acute_exacerbation,Acute exacerbation,clinical_content_group,myasthenia_gravis__acute_exacerbation,1,ccm.neuro.swallow_breathe,,,,,pending,,
37,aortic_aneurysm,Aortic Aneurysm,ccm-bank.aortic_aneurysm,1,rupture_recorded,Rupture recorded,clinical_content_group,aortic_aneurysm__rupture_recorded,1,ccm.aorta.new_pain,,,,,pending,,
38,sickle_cell_disease,Sickle Cell Disease,ccm-bank.sickle_cell_disease,1,crisis,Crisis,clinical_content_group,sickle_cell_disease__with_crisis,1,ccm.sickle.pain_crisis,,,,,pending,,
38,sickle_cell_disease,Sickle Cell Disease,ccm-bank.sickle_cell_disease,1,acute_chest,Acute chest syndrome,clinical_content_group,sickle_cell_disease__acute_chest_syndrome,1,ccm.sickle.chest_symptoms,,,,,pending,,
39,non_pressure_chronic_ulcer,Non-Pressure Chronic Ulcer,ccm-bank.non_pressure_chronic_ulcer,1,deep_tissue,Deep tissue involvement,clinical_content_group,non_pressure_chronic_ulcer__deep_tissue_involvement,1,ccm.wound.infection_red_flag,,,,,pending,,
40,chronic_gout,Chronic Gout,ccm-bank.chronic_gout,1,tophaceous,Tophaceous gout,clinical_content_group,chronic_gout__with_tophus,1,ccm.gout.tophus_change,,,,,pending,,
41,bronchiectasis,Bronchiectasis,ccm-bank.bronchiectasis,1,exacerbation,Exacerbation,clinical_content_group,bronchiectasis__exacerbation,1,ccm.pulmonary.flare_treatment,,,,,pending,,
41,bronchiectasis,Bronchiectasis,ccm-bank.bronchiectasis,1,infection,Lower respiratory infection,clinical_content_group,bronchiectasis__with_infection,1,ccm.pulmonary.cough_sputum_change,,,,,pending,,
51,adrenal_insufficiency,Adrenal Insufficiency,ccm-bank.adrenal_insufficiency,1,adrenal_crisis,Adrenal crisis,clinical_content_group,adrenal_insufficiency__adrenal_crisis,1,ccm.adrenal.vomiting_red_flag,,,,,pending,,
54,hyperthyroidism,Hyperthyroidism,ccm-bank.hyperthyroidism,1,crisis_or_storm,Thyroid crisis or storm,clinical_content_group,hyperthyroidism__thyroid_crisis_or_storm,1,ccm.endocrine.heart_racing,,,,,pending,,
55,benign_prostatic_hyperplasia,Benign Prostatic Hyperplasia,ccm-bank.benign_prostatic_hyperplasia,1,lower_urinary_tract_symptoms,Lower urinary tract symptoms,clinical_content_group,benign_prostatic_hyperplasia__with_lower_urinary_tract_symptoms,1,ccm.urinary.symptom_change,,,,,pending,,
59,type_1_diabetes,Type 1 Diabetes,ccm-bank.type_1_diabetes,1,kidney_complication,Kidney complication,clinical_content_group,type_1_diabetes__kidney_complication,3,ccm.bp.latest_systolic; ccm.specialist.pending_followup; ccm.coordination.open_need,,,,,pending,,
59,type_1_diabetes,Type 1 Diabetes,ccm-bank.type_1_diabetes,1,ophthalmic_complication,Ophthalmic complication,clinical_content_group,type_1_diabetes__ophthalmic_complication; type_1_diabetes__proliferative_retinopathy; type_1_diabetes__proliferative_retinopathy_macular_edema,3,ccm.function.daily_activity_difficulty; ccm.transportation.barrier; ccm.specialist.pending_followup,,,,,pending,,
59,type_1_diabetes,Type 1 Diabetes,ccm-bank.type_1_diabetes,1,foot_ulcer,Foot ulcer,clinical_content_group,type_1_diabetes__foot_ulcer,3,ccm.pain.severity; ccm.function.daily_activity_difficulty; ccm.coordination.open_need,,,,,pending,,
59,type_1_diabetes,Type 1 Diabetes,ccm-bank.type_1_diabetes,1,acute_metabolic_complication,Acute metabolic complication follow-up,clinical_content_group,type_1_diabetes__ketoacidosis,3,ccm.hospital.had_admission; ccm.emergency.had_visit; ccm.coordination.open_need,,,,,pending,,
78,secondary_diabetes_mellitus,Secondary Diabetes Mellitus,ccm-bank.secondary_diabetes_mellitus,1,kidney_complication,Kidney complication,clinical_content_group,secondary_diabetes_mellitus__kidney_complication,3,ccm.bp.latest_systolic; ccm.specialist.pending_followup; ccm.coordination.open_need,,,,,pending,,
78,secondary_diabetes_mellitus,Secondary Diabetes Mellitus,ccm-bank.secondary_diabetes_mellitus,1,ophthalmic_complication,Ophthalmic complication,clinical_content_group,secondary_diabetes_mellitus__ophthalmic_complication; secondary_diabetes_mellitus__proliferative_retinopathy; secondary_diabetes_mellitus__proliferative_retinopathy_macular_edema,3,ccm.function.daily_activity_difficulty; ccm.transportation.barrier; ccm.specialist.pending_followup,,,,,pending,,
78,secondary_diabetes_mellitus,Secondary Diabetes Mellitus,ccm-bank.secondary_diabetes_mellitus,1,foot_ulcer,Foot ulcer,clinical_content_group,secondary_diabetes_mellitus__foot_ulcer,3,ccm.pain.severity; ccm.function.daily_activity_difficulty; ccm.coordination.open_need,,,,,pending,,
78,secondary_diabetes_mellitus,Secondary Diabetes Mellitus,ccm-bank.secondary_diabetes_mellitus,1,acute_metabolic_complication,Acute metabolic complication follow-up,clinical_content_group,secondary_diabetes_mellitus__ketoacidosis; secondary_diabetes_mellitus__hyperosmolarity,3,ccm.hospital.had_admission; ccm.emergency.had_visit; ccm.coordination.open_need,,,,,pending,,
